18,0,7,6,14,17,19,6,9,14,18,17,11,9,17,1,5,11,9,2,3,19,4,20,20,12,20,0,18,18
20,11,16,9,20,19,6,12,19,1,6,10,15,1,2,1,7,7,20,7,1,2,17,15,5,1,8,2,3,4
9,0,20,8,5,15,3,20,18,0,0,10,14,14,4,4,7,4,5,18,9,0,10,7,18,10,10,10,6,1
10,9,14,7,3,9,17,1,0,7,6,15,11,3,14,18,18,9,8,1,15,2,8,8,12,2,4,5,0,8
1,4,16,2,16,15,15,19,14,0,17,16,4,14,11,16,9,4,14,13,4,18,3,5,17,13,0,1,1,14
11,18,3,2,10,11,11,13,11,4,14,1,2,1,5,18,6,12,7,1,10,11,6,9,17,19,5,10,9,11
5,14,4,12,0,16,11,1,19,18,8,2,0,20,4,12,1,2,7,9,7,17,0,14,1,5,17,11,12,1
18,18,11,18,11,0,0,16,3,15,6,15,7,3,2,5,4,11,14,6,14,12,9,12,4,8,2,14,2,13
8,17,12,19,13,15,17,10,8,18,1,9,20,5,3,5,17,6,19,3,2,10,10,3,1,3,10,7,20,2
7,13,19,1,0,11,3,4,5,3,7,3,11,15,1,18,15,8,17,3,16,11,20,9,1,18,14,20,1,17
6,15,2,19,15,8,10,8,15,10,19,12,6,3,14,8,18,11,19,9,16,1,2,13,1,10,3,9,4,0
16,17,19,14,0,18,5,14,10,1,0,15,5,1,1,7,20,16,15,4,16,14,0,12,16,9,10,7,16,7
14,19,18,16,20,15,11,18,13,18,12,14,2,5,5,10,17,9,15,4,1,20,2,13,16,11,1,0,17,19
14,16,3,8,6,7,12,14,9,5,20,19,20,3,4,12,16,12,4,19,4,17,5,8,20,4,19,13,17,0
15,20,20,19,13,8,11,10,6,7,2,14,11,3,8,13,9,17,20,15,6,19,9,16,14,0,2,3,6,14
4,20,13,13,2,12,8,0,17,10,16,16,2,7,5,1,19,10,15,20,11,11,1,13,0,4,10,0,15,11
20,19,16,14,0,14,10,10,8,20,17,4,3,7,15,9,15,4,9,19,12,19,18,6,0,6,20,5,11,1
0,11,14,16,15,10,10,11,7,0,9,15,5,8,7,8,10,19,17,18,12,3,9,6,3,11,10,19,14,0
11,0,10,7,5,13,12,5,20,19,6,0,18,20,2,11,1,11,5,6,13,8,0,18,13,13,19,0,3,12
0,0,6,9,12,0,9,2,19,7,17,7,1,1,4,15,11,11,9,0,11,18,7,16,15,20,10,19,8,2
0,7,14,9,20,9,1,8,2,1,1,14,19,17,14,12,16,14,14,5,19,2,15,11,10,8,9,13,14,2
19,13,11,6,19,19,19,14,11,11,1,14,20,7,9,11,1,1,14,2,15,13,0,16,12,13,17,7,1,5
1,7,1,11,16,7,1,10,6,10,1,16,3,7,1,18,4,3,2,0,11,5,18,3,7,7,19,2,18,6
7,4,9,1,19,20,6,20,8,0,16,15,17,10,14,4,18,17,15,6,12,9,20,10,0,6,4,15,6,5
7,20,12,17,19,4,19,2,14,6,20,4,3,5,16,19,19,1,18,4,11,3,16,4,5,6,17,9,20,0
1,16,10,9,13,0,1,18,20,18,19,20,19,15,7,7,19,5,7,11,1,3,1,4,5,1,20,15,0,7
3,15,9,1,6,3,13,6,20,10,18,2,10,20,16,19,6,10,4,4,16,18,5,9,11,7,19,18,2,2
3,8,0,6,6,11,7,20,11,11,11,18,2,11,20,19,0,8,7,20,15,7,12,17,0,6,5,0,0,16
11,8,19,9,17,6,16,8,5,4,12,3,3,0,5,7,6,4,19,14,0,6,7,7,8,18,18,9,16,10
3,14,9,0,14,1,3,12,1,19,13,13,15,16,1,4,15,3,12,9,10,6,13,15,8,10,9,4,20,20
